id,uid,country,country_id,state,state_id,city,street,open_time,close_time,lat,lng,timezone
27,7ppqr,Germany,64,Berlin Districts,8,Berlin,Trankgasse,19:30:00,03:30:00,50.942313,6.956556,Europe/Berlin
28,qau7t,Germany,64,Berlin Districts,8,Berlin,Landsberger Allee,11:30:00,06:30:00,52.533803,13.477654,Europe/Berlin
29,6e0fo,Germany,64,Berlin Districts,8,Berlin,Flandrische Straße ,19:30:00,03:30:00,50.937824,6.939003,Europe/Berlin
35,va14j,Spain,189,Andalusia,90,Seville,Av de Andalucía,08:00:00,06:00:00,37.38792,-5.963298,Asia/Jerusalem
46,7lh90,Spain,189,Madrid,12,Madrid,Av. de América,08:00:00,02:00:00,40.451418,-3.602515,Asia/Jerusalem
47,oyokv,Spain,189,Madrid,12,Madrid,Av. de América,08:00:00,02:00:00,40.325252,-3.749218,Asia/Jerusalem
48,wv3qq,Germany,64,Stuttgart,NULL,Stuttgrat,Baden-Wurttemberg ,NULL,23:55:00,48.787097,9.218081,Europe/Berlin
49,dgpb2,Germany,64,Stuttgart,NULL,Stuttgrat,Baden-Wurttemberg ,NULL,23:55:00,48.787097,9.218081,Europe/Berlin
50,e5uee,Germany,64,Stuttgart,NULL,Stuttgrat,Baden-Wurttemberg ,NULL,23:55:00,48.787097,9.218081,Europe/Berlin
51,5yfn8,Germany,64,Stuttgart,NULL,Stuttgrat,Baden-Wurttemberg ,NULL,23:55:00,48.787097,9.218081,Europe/Berlin
52,mjow4,Germany,64,Stuttgart,NULL,Stuttgrat,Baden-Wurttemberg ,NULL,23:55:00,48.787097,9.218081,Europe/Berlin
54,wy3vb,Germany,64,Stuttgart,NULL,Stuttgrat,Baden-Wurttemberg ,NULL,23:55:00,48.787097,9.218081,Europe/Berlin
55,3sibn,Spain,189,Sevilla,15,Sevilla,ALCALÁ DE GUADAIRA,12:00:00,02:00:00,37.373731,-5.892425,Asia/Jerusalem
112,gppcc,Germany,64,Bremen,31,Bremen,Am Deich,10:00:00,20:00:00,53.076306,8.789009,Europe/Berlin
116,rdiuh,Brazil,24,São Paulo,34,São Paulo,Leopoldo Couto Magalhães Júnio,12:00:00,03:00:00,-23.587144,-46.675563,America/Sao_Paulo
120,mnzda,Netherlands,188,North Holland,36,Amsterdam,Dam,00:00:00,23:59:59,52.372646,4.89507,Europe/Amsterdam
122,ekbrf,Japan,193,Tokyo,37,Tokyo, Shikawa Bldg.,08:00:00,20:00:00,35.676988,139.782859,Asia/Tokyo
126,60my2,China,36,Beijing,NULL,Beijing,工体东路丙2号中国红街1号楼2层,11:00:00,01:00:00,39.933236,116.451263,Asia/Shanghai
127,d80id,China,36,Beijing,NULL,Beijing,Sanlitun,11:00:00,00:00:00,39.934637,116.455665,Asia/Shanghai
128,u9e99,China,36,Beijing,NULL,Beijing,Jiuxianqiao,11:00:00,22:00:00,39.970007,116.491951,Asia/Shanghai
129,fmqus,China,36,Beijing,NULL,Beijing,Sanlitun,NULL,NULL,39.935408,116.45726,Asia/Shanghai
130,vmp6e,China,36,Beijing,NULL,Beijing,Jinhui,10:00:00,01:00:00,39.917333,116.453612,Asia/Shanghai
138,lw6an,Brazil,24,São Paulo,34,São Paulo,Tuiuti ,07:30:00,01:00:00,-23.537917,-46.575526,Brazil/East
139,0ddes,Brazil,24,São Paulo,34,São Paulo,Bom Sucesso,07:00:00,00:00:00,-23.549388,-46.576244,Brazil/East
140,4ok8b,Brazil,24,São Paulo,34,São Paulo,Armando Dias,08:00:00,23:00:00,-23.572559,-46.556905,Brazil/East
141,e1yk4,Brazil,24,São Paulo,34,São Paulo,Arapoca,04:30:00,23:00:00,-23.567265,-46.541438,Brazil/East
142,5hcg8,Brazil,24,São Paulo,34,São Paulo,Leopoldo Couto Magalhães Júnio,NULL,NULL,-23.92,-58.62,Brazil/East
143,64yyi,Brazil,24,São Paulo,34,São Paulo,Leopoldo Couto Magalhães Júnio,NULL,NULL,-23.92,-58.62,Brazil/East
144,p51rh,Brazil,24,São Paulo,34,São Paulo,Leopoldo Couto Magalhães Júnio,NULL,NULL,-23.92,-58.62,Brazil/East
145,ing4r,Brazil,24,São Paulo,34,São Paulo,Leopoldo Couto Magalhães Júnio,NULL,NULL,-23.92,-58.62,Brazil/East
146,aaxor,Brazil,24,São Paulo,34,São Paulo,Leopoldo Couto Magalhães Júnio,NULL,NULL,-23.92,-58.62,Brazil/East
147,4fb6b,Brazil,24,São Paulo,34,São Paulo,Leopoldo Couto Magalhães Júnio,NULL,NULL,-23.92,-58.62,Brazil/East
152,gybmp,Argentina,194,Buenos Aires (Capital Federal),98,Buenos Aires,12 de octubre,08:00:00,18:00:00,-34.730212,-58.258219,America/Buenos_Aires
