id,item_id,order_id,bar_product_id,qty,total_price
3422788757,NULL,149591333,4022945,1.00,0.00
3422788758,NULL,149591333,3399181,1.00,15.00
3422788759,NULL,149591334,4022945,1.00,0.00
3422788760,NULL,149591334,2909766,1.00,18.00
3423957043,NULL,149718538,4022945,2.00,0.00
3423957044,NULL,149718538,4024527,1.00,3.00
3423957045,NULL,149718538,2909762,1.00,17.00
3423957046,NULL,149718538,2909766,1.00,18.00
3423957047,NULL,149718538,3348251,1.00,17.00
3423957048,NULL,149718539,309635,1.00,6.50
3423957049,NULL,149718539,348166,1.00,7.50
3423957050,NULL,149718539,4022945,1.00,0.00
3423957051,NULL,149718539,4024529,1.00,4.00
3423957052,NULL,149718539,2909762,1.00,17.00
3423957053,NULL,149718539,2623491,1.00,18.00
3423957054,NULL,149718540,4022945,1.00,0.00
3423957055,NULL,149718540,2909769,1.00,16.00
3423957056,NULL,149718540,4024528,1.00,8.00
3425185053,NULL,149862113,4032567,1.00,0.00
3425185054,NULL,149862113,2909763,1.00,16.00
3427464269,NULL,150120106,309348,2.00,14.00
3427464270,NULL,150120106,348161,1.00,7.50
3427464271,NULL,150120106,312252,1.00,5.00
3429240852,NULL,150294072,2249503,1.00,33.00
3429240854,NULL,150294073,309635,2.00,11.00
3429240856,NULL,150294073,2463300,1.00,6.00
3429240858,NULL,150294074,2250604,2.00,15.50
3429240859,NULL,150294075,309773,2.00,15.00
3429240860,NULL,150294076,309635,1.00,5.50
3429240862,NULL,150294077,309748,1.00,5.50
3429240863,NULL,150294077,1127754,1.00,27.00
3429240864,NULL,150294078,348166,1.00,7.50
3429240869,NULL,150294078,1127810,1.00,9.75
3429240870,NULL,150294079,1128637,1.00,17.00
3429240871,NULL,150294080,2249663,2.00,20.00
3429865100,NULL,150358845,940615,1.00,10.00
3429865101,NULL,150358845,1127440,1.00,16.00
3429865102,NULL,150358846,1152062,1.00,10.00
3429865103,NULL,150358846,309747,1.00,8.00
3429865104,NULL,150358846,1127440,1.00,16.00
3430808323,NULL,150469755,364121,1.00,6.00
3430808329,NULL,150469755,309748,8.00,44.00
3430808335,NULL,150469755,371093,1.00,6.00
3430808337,NULL,150469755,1128716,1.00,46.00
3430808339,NULL,150469755,1152399,1.00,10.00
3430808345,NULL,150469756,1151553,1.00,10.00
3430808347,NULL,150469756,364121,1.00,6.00
3430808349,NULL,150469756,2249663,1.00,10.00
3430808351,NULL,150469757,348160,2.00,11.00
3430808358,NULL,150469758,309635,1.00,5.50
3430808360,NULL,150469759,309748,2.00,11.00
3430808362,NULL,150469760,309635,1.00,5.50
3430808363,NULL,150469761,309773,1.00,7.50
3430808365,NULL,150469762,348161,2.00,15.00
3430808367,NULL,150469763,309752,1.00,7.50
3430808369,NULL,150469763,1127485,1.00,18.00
3430808371,NULL,150469764,348161,2.00,15.00
3430808373,NULL,150469764,2249663,1.00,10.00
3430808375,NULL,150469765,1151552,1.00,7.50
3430808377,NULL,150469765,2249663,1.00,10.00
3430808379,NULL,150469766,1151553,1.00,10.00
3430808381,NULL,150469766,1130345,3.00,21.00
3430808383,NULL,150469766,1127754,0.50,13.50
3430808385,NULL,150469767,309748,5.00,27.50
3430808387,NULL,150469767,1127754,0.50,13.50
3430808389,NULL,150469768,2909765,2.00,17.50
3430808391,NULL,150469768,310098,1.00,8.00
3430808393,NULL,150469769,309635,1.00,5.50
3430808395,NULL,150469769,1127440,1.00,16.00
3430808397,NULL,150469770,348160,2.00,11.00
3430808398,NULL,150469770,309773,1.00,7.50
3430808400,NULL,150469771,309752,1.00,7.50
3430808402,NULL,150469771,309773,1.00,7.50
3430808404,NULL,150469772,348160,1.00,5.50
3430808406,NULL,150469772,309773,1.00,7.50
3430808408,NULL,150469773,309737,3.00,10.50
3430808410,NULL,150469773,348160,5.00,27.50
3430808412,NULL,150469774,310098,2.00,16.00
3430808414,NULL,150469774,310916,1.00,7.00
3431887198,NULL,150597270,2249663,1.00,10.00
3431887199,NULL,150597270,1152399,1.00,10.00
3431887200,NULL,150597271,1160675,1.00,8.50
3431887201,NULL,150597271,957611,1.00,10.00
3431887202,NULL,150597272,1127575,1.00,9.75
3431887203,NULL,150597272,1630671,1.00,14.00
3431887204,NULL,150597273,1630677,1.00,14.00
3431887205,NULL,150597273,309773,1.00,7.50
3431887206,NULL,150597273,2250759,0.50,16.50
3431887207,NULL,150597274,996036,1.00,3.00
3431887208,NULL,150597275,1630671,0.50,7.00
3431887209,NULL,150597275,2249663,1.00,10.00
3431887210,NULL,150597275,1152399,1.00,10.00
3431887211,NULL,150597276,1152062,1.00,10.00
3431887212,NULL,150597276,348166,1.00,7.50
3431887213,NULL,150597276,1630671,0.50,7.00
3431887214,NULL,150597277,1128637,1.00,17.00
3431887215,NULL,150597278,1630671,1.00,14.00
3431887216,NULL,150597278,2250759,0.50,16.50
3431887217,NULL,150597279,309775,1.00,7.50
3431887218,NULL,150597279,1630671,1.00,14.00
3431887219,NULL,150597280,309773,1.00,7.50
3431887220,NULL,150597281,364121,1.00,6.00
3431887221,NULL,150597281,371093,1.00,6.00
3431887222,NULL,150597283,309635,2.00,11.00
3431887223,NULL,150597284,1130345,2.00,14.00
3431887224,NULL,150597285,2249503,0.67,22.00
3431887225,NULL,150597285,1127485,1.00,18.00
3431887226,NULL,150597286,2249503,0.67,22.00
3431887227,NULL,150597286,2462894,1.00,14.00
3431887228,NULL,150597286,309773,1.00,7.50
3431887229,NULL,150597287,2249503,0.67,22.00
3431887230,NULL,150597287,2462399,1.00,24.00
3431887231,NULL,150597288,1127440,1.00,16.00
3431887232,NULL,150597288,2250604,1.00,7.75
3431887233,NULL,150597289,364121,1.00,6.00
3431887234,NULL,150597289,310881,1.00,6.75
3431887235,NULL,150597290,1151552,1.00,7.50
3431887236,NULL,150597290,2463301,1.00,15.00
3431887237,NULL,150597290,371093,1.00,6.00
3431887238,NULL,150597290,2250760,1.00,10.00
3431887239,NULL,150597291,1632469,1.00,14.00
3431887240,NULL,150597291,2249663,2.00,20.00
3431887241,NULL,150597291,2250604,1.00,7.75
3431887242,NULL,150597292,1630677,1.00,14.00
3431887243,NULL,150597292,371093,0.33,2.00
3431887244,NULL,150597292,2250759,0.33,11.00
3431887245,NULL,150597293,371093,0.33,2.00
3431887246,NULL,150597293,1630671,1.00,14.00
3431887247,NULL,150597293,2250759,0.33,11.00
3431887248,NULL,150597294,1632469,1.00,14.00
3431887249,NULL,150597294,371093,0.33,2.00
3431887250,NULL,150597294,2250759,0.33,11.00
3431887251,NULL,150597295,310098,1.00,8.00
3431887252,NULL,150597295,371093,1.00,6.00
3431887253,NULL,150597295,1630671,1.00,14.00
3431887254,NULL,150597295,309773,1.00,7.50
3431887255,NULL,150597296,309348,1.00,7.00
3431887256,NULL,150597297,364121,1.00,6.00
3431887257,NULL,150597297,1130345,1.00,7.00
3431887258,NULL,150597297,1127754,1.00,27.00
3431887259,NULL,150597298,2468090,0.50,17.50
3431887260,NULL,150597298,1130345,2.00,14.00
3431887261,NULL,150597298,1130345,0.50,3.50
3431887262,NULL,150597298,1127485,1.00,18.00
3431887263,NULL,150597299,2468090,0.50,17.50
3431887264,NULL,150597299,1130345,1.00,7.00
3431887265,NULL,150597299,1130345,1.00,7.00
3431887266,NULL,150597299,1130345,0.50,3.50
3431887267,NULL,150597299,2463301,1.00,15.00
3431887268,NULL,150597300,1630677,1.00,14.00
3431887269,NULL,150597300,309748,2.00,11.00
3431887270,NULL,150597300,1128637,1.00,17.00
3431887271,NULL,150597300,1127440,1.00,16.00
3431887272,NULL,150597300,345732,1.00,7.00
3431887273,NULL,150597301,1151553,1.00,10.00
3431887274,NULL,150597301,1127754,1.00,27.00
3431887275,NULL,150597301,1151553,1.00,10.00
3431887276,NULL,150597302,1127754,1.00,27.00
3431887277,NULL,150597302,309734,1.00,5.50
3431887278,NULL,150597303,310098,2.00,16.00
3431887279,NULL,150597303,1630677,1.00,14.00
3431887280,NULL,150597304,310098,1.00,8.00
3431887281,NULL,150597304,1630677,1.00,14.00
3431887282,NULL,150597305,311570,2.00,9.50
3431887283,NULL,150597306,309958,2.00,9.00
3431887284,NULL,150597306,309348,1.00,7.00
3431887285,NULL,150597307,1630677,1.00,14.00
3431887286,NULL,150597307,1151552,1.00,7.50
3431887287,NULL,150597308,310138,1.00,8.50
3431887288,NULL,150597308,1151553,1.00,10.00
3432938964,NULL,150700802,2754294,1.00,6.00
3432938966,NULL,150700803,2463301,1.00,15.00
3432938968,NULL,150700804,2462400,2.00,19.50
3432938969,NULL,150700804,2473881,1.00,9.50
3432938971,NULL,150700804,2473881,3.00,28.50
3432938972,NULL,150700804,2463300,1.00,6.00
3432938974,NULL,150700804,309773,1.00,7.50
3432938978,NULL,150700804,345732,1.00,7.00
3432938981,NULL,150700804,330663,1.00,8.50
3432938983,NULL,150700805,940615,1.00,10.00
3432938984,NULL,150700805,1127810,1.00,9.75
