id,bar_id,nd,hour,total_sales
149591333,423,2018-08-01,16,15.00
149591334,423,2018-08-01,16,18.00
149718538,423,2018-08-01,15,55.00
149718539,423,2018-08-01,16,53.00
149718540,423,2018-08-01,16,24.00
149862113,423,2018-08-01,17,12.00
150120106,423,2018-08-01,19,26.50
150294072,423,2018-08-01,20,33.00
150294073,423,2018-08-01,20,17.00
150294074,423,2018-08-01,20,15.50
150294075,423,2018-08-01,20,15.00
150294076,423,2018-08-01,20,5.50
150294077,423,2018-08-01,20,32.50
150294078,423,2018-08-01,20,17.25
150294079,423,2018-08-01,20,17.00
150294080,423,2018-08-01,21,20.00
150358845,423,2018-08-01,20,26.00
150358846,423,2018-08-01,20,34.00
150469755,423,2018-08-01,21,112.00
150469756,423,2018-08-01,21,26.00
150469757,423,2018-08-01,21,11.00
150469758,423,2018-08-01,21,5.50
150469759,423,2018-08-01,21,11.00
150469760,423,2018-08-01,21,5.50
150469761,423,2018-08-01,21,7.50
150469762,423,2018-08-01,21,15.00
150469763,423,2018-08-01,22,25.50
150469764,423,2018-08-01,22,25.00
150469765,423,2018-08-01,21,17.50
150469766,423,2018-08-01,20,44.50
150469767,423,2018-08-01,20,41.00
150469768,423,2018-08-01,23,25.50
150469769,423,2018-08-01,22,21.50
150469770,423,2018-08-01,21,18.50
150469771,423,2018-08-01,21,15.00
150469772,423,2018-08-01,21,13.00
150469773,423,2018-08-01,20,38.00
150469774,423,2018-08-01,23,23.00
150597270,423,2018-08-01,18,20.00
150597271,423,2018-08-01,21,18.50
150597272,423,2018-08-01,22,23.75
150597273,423,2018-08-01,22,38.00
150597274,423,2018-08-01,22,3.00
150597275,423,2018-08-01,22,27.00
150597276,423,2018-08-01,22,24.50
150597277,423,2018-08-01,22,17.00
150597278,423,2018-08-01,22,30.50
150597279,423,2018-08-01,22,21.50
150597280,423,2018-08-01,22,7.50
150597281,423,2018-08-01,22,12.00
150597283,423,2018-08-01,22,11.00
150597284,423,2018-08-01,21,14.00
150597285,423,2018-08-01,21,40.00
150597286,423,2018-08-01,21,43.50
