id,title,price,category_id,bar_id,product_id
3399181,"SALADE LÉGUMINEUSE",15.00,2,423,0
4022945,"GASPACHO TH",0.00,2,423,0
2909766,"POKE BOWL SAUMON",18.00,2,423,0
4022945,"GASPACHO TH",0.00,2,423,0
2909762,"TARTARE DE SAUMON",17.00,2,423,0
2909766,"POKE BOWL SAUMON",18.00,2,423,0
3348251,"SAUTÉ DE CREVETTE",17.00,2,423,0
4022945,"GASPACHO TH",0.00,2,423,0
4024527,"ROULEAUX TH",3.00,2,423,0
309635,"BG ROUSSE PINTE",6.50,1,423,256
348166,KRONENBOURG,8.00,1,423,201
2623491,"TARTARE DE BOEUF",18.00,2,423,0
2909762,"TARTARE DE SAUMON",17.00,2,423,0
4022945,"GASPACHO TH",0.00,2,423,0
4024529,"CRAB CAKE TH",4.00,2,423,0
2909769,"PAD THAI LÉGUMES",16.00,2,423,0
4022945,"GASPACHO TH",0.00,2,423,0
4024528,"DUMPLINGS AU POULET",8.00,2,423,0
2909763,"PAD THAI POULET",16.00,2,423,0
4032567,"SALADE VERTE TH",0.00,2,423,0
309348,"CREAM ALE",6.52,1,423,118
312252,"MIX ASIATIQUE",5.00,2,423,0
348161,"COBBLESTONE STOUT",8.00,1,423,503
2249503,"LUCKY SANGRIA PICHE",33.00,3,423,0
309635,"BG ROUSSE PINTE",6.50,1,423,256
2463300,GASPACHO,6.00,2,423,0
2250604,"FARHNAM IPA",7.75,1,423,23762
309773,"GOOSE ISLAND IPA",7.50,1,423,52
309635,"BG ROUSSE PINTE",6.50,1,423,256
309748,"BG BLONDE PINTE",5.50,1,423,36410
1127754,"3 CHOIX",27.00,2,423,0
348166,KRONENBOURG,8.00,1,423,201
1127810,"POULET CORÉEN",9.75,2,423,0
1128637,"TARTARE DE SAUMON",17.00,2,423,0
2249663,"GRENADE PALOMA",10.00,3,423,0
940615,"LUCKY SANGRIA VERRE",9.75,6,423,0
1127440,"PAD THAI POULET",16.00,2,423,0
309747,"DESSERT DU MOMENT",8.00,2,423,0
1127440,"PAD THAI POULET",16.00,2,423,0
1152062,"FERDINAND MAGELLAN",10.00,3,423,0
309748,"BG BLONDE PINTE",5.50,1,423,36410
364121,FRITES,6.00,2,423,0
371093,EDAMAME,6.00,2,423,0
1128716,"5 CHOIX",46.00,2,423,0
1152399,"PISCO SOUR GRENADE",10.00,3,423,0
364121,FRITES,6.00,2,423,0
1151553,"MANGO & STORMY",10.00,3,423,0
2249663,"GRENADE PALOMA",10.00,3,423,0
348160,"LABATT 50",7.00,1,423,41
309635,"BG ROUSSE PINTE",6.50,1,423,256
309748,"BG BLONDE PINTE",5.50,1,423,36410
309635,"BG ROUSSE PINTE",6.50,1,423,256
309773,"GOOSE ISLAND IPA",7.50,1,423,52
348161,"COBBLESTONE STOUT",8.00,1,423,503
309752,"STELLA ARTOIS",8.00,1,423,74
1127485,"POKE BOWL AU THON",18.00,2,423,0
348161,"COBBLESTONE STOUT",8.00,1,423,503
2249663,"GRENADE PALOMA",10.00,3,423,0
1151552,"GLUTENBERG BLANCHE",7.50,1,423,155
2249663,"GRENADE PALOMA",10.00,3,423,0
1127754,"3 CHOIX",27.00,2,423,0
1130345,"BARTON V.",6.75,6,423,0
1151553,"MANGO & STORMY",10.00,3,423,0
309748,"BG BLONDE PINTE",5.50,1,423,36410
1127754,"3 CHOIX",27.00,2,423,0
310098,"BLOODY CESAR",8.00,3,423,0
2909765,"AMARETTO SOUR DRINK",8.75,3,423,0
309635,"BG ROUSSE PINTE",6.50,1,423,256
1127440,"PAD THAI POULET",16.00,2,423,0
309773,"GOOSE ISLAND IPA",7.50,1,423,52
348160,"LABATT 50",7.00,1,423,41
309752,"STELLA ARTOIS",8.00,1,423,74
309773,"GOOSE ISLAND IPA",7.50,1,423,52
309773,"GOOSE ISLAND IPA",7.50,1,423,52
348160,"LABATT 50",7.00,1,423,41
309737,"JAMESON SHOT",4.00,3,423,0
348160,"LABATT 50",7.00,1,423,41
310098,"BLOODY CESAR",8.00,3,423,0
310916,"GIN BEEFEATER",6.50,3,423,0
1152399,"PISCO SOUR GRENADE",10.00,3,423,0
2249663,"GRENADE PALOMA",10.00,3,423,0
957611,LOTUS,9.75,3,423,0
1160675,SINGHA,8.50,1,423,346
1127575,BOULETTES,9.75,2,423,0
1630671,"BUN SAUMON",14.00,2,423,0
309773,"GOOSE ISLAND IPA",7.50,1,423,52
1630677,"BUN FLANC DE PORC",14.00,2,423,0
2250759,"PINEAPPLE PICHET",33.00,3,423,0
996036,"JUS CANNEBERGE",2.61,4,423,0
1152399,"PISCO SOUR GRENADE",10.00,3,423,0
1630671,"BUN SAUMON",14.00,2,423,0
2249663,"GRENADE PALOMA",10.00,3,423,0
348166,KRONENBOURG,8.00,1,423,201
1152062,"FERDINAND MAGELLAN",10.00,3,423,0
1630671,"BUN SAUMON",14.00,2,423,0
1128637,"TARTARE DE SAUMON",17.00,2,423,0
1630671,"BUN SAUMON",14.00,2,423,0
2250759,"PINEAPPLE PICHET",33.00,3,423,0
309775,CIDRE,8.00,1,423,128
1630671,"BUN SAUMON",14.00,2,423,0
309773,"GOOSE ISLAND IPA",7.50,1,423,52
364121,FRITES,6.00,2,423,0
371093,EDAMAME,6.00,2,423,0
309635,"BG ROUSSE PINTE",6.50,1,423,256
1130345,"BARTON V.",6.75,6,423,0
1127485,"POKE BOWL AU THON",18.00,2,423,0
2249503,"LUCKY SANGRIA PICHE",33.00,3,423,0
309773,"GOOSE ISLAND IPA",7.50,1,423,52
2249503,"LUCKY SANGRIA PICHE",33.00,3,423,0
2462894,POUTINE,14.00,2,423,0
2249503,"LUCKY SANGRIA PICHE",33.00,3,423,0
2462399,"STEAK FRITE",24.00,2,423,0
1127440,"PAD THAI POULET",16.00,2,423,0
2250604,"FARHNAM IPA",7.75,1,423,23762
310881,"CARLSBERG BTL",6.75,1,423,179
364121,FRITES,6.00,2,423,0
371093,EDAMAME,6.00,2,423,0
1151552,"GLUTENBERG BLANCHE",7.50,1,423,155
2250760,"MARIANA GIN",10.00,3,423,0
2463301,"PAD THAI TOFU",15.00,2,423,0
1632469,"BUN TOFU",14.00,2,423,0
2249663,"GRENADE PALOMA",10.00,3,423,0
2250604,"FARHNAM IPA",7.75,1,423,23762
371093,EDAMAME,6.00,2,423,0
1630677,"BUN FLANC DE PORC",14.00,2,423,0
2250759,"PINEAPPLE PICHET",33.00,3,423,0
371093,EDAMAME,6.00,2,423,0
1630671,"BUN SAUMON",14.00,2,423,0
2250759,"PINEAPPLE PICHET",33.00,3,423,0
371093,EDAMAME,6.00,2,423,0
1632469,"BUN TOFU",14.00,2,423,0
2250759,"PINEAPPLE PICHET",33.00,3,423,0
309773,"GOOSE ISLAND IPA",7.50,1,423,52
310098,"BLOODY CESAR",8.00,3,423,0
371093,EDAMAME,6.00,2,423,0
1630671,"BUN SAUMON",14.00,2,423,0
309348,"CREAM ALE",6.52,1,423,118
364121,FRITES,6.00,2,423,0
1127754,"3 CHOIX",27.00,2,423,0
1130345,"BARTON V.",6.75,6,423,0
1127485,"POKE BOWL AU THON",18.00,2,423,0
1130345,"BARTON V.",6.75,6,423,0
1130345,"BARTON V.",6.75,6,423,0
2468090,"BARTON BTL",35.00,6,423,0
1130345,"BARTON V.",6.75,6,423,0
1130345,"BARTON V.",6.75,6,423,0
1130345,"BARTON V.",6.75,6,423,0
2463301,"PAD THAI TOFU",15.00,2,423,0
2468090,"BARTON BTL",35.00,6,423,0
309748,"BG BLONDE PINTE",5.50,1,423,36410
345732,"MESA VERRE",7.00,6,423,0
1127440,"PAD THAI POULET",16.00,2,423,0
1128637,"TARTARE DE SAUMON",17.00,2,423,0
1630677,"BUN FLANC DE PORC",14.00,2,423,0
1127754,"3 CHOIX",27.00,2,423,0
1151553,"MANGO & STORMY",10.00,3,423,0
1151553,"MANGO & STORMY",10.00,3,423,0
309734,"VIRGIN MANGO",5.50,3,423,0
1127754,"3 CHOIX",27.00,2,423,0
310098,"BLOODY CESAR",8.00,3,423,0
1630677,"BUN FLANC DE PORC",14.00,2,423,0
310098,"BLOODY CESAR",8.00,3,423,0
1630677,"BUN FLANC DE PORC",14.00,2,423,0
311570,"B6 X",4.50,3,423,0
309348,"CREAM ALE",6.52,1,423,118
309958,"TEQUILA ELJIMADOR SH",4.50,3,423,0
1151552,"GLUTENBERG BLANCHE",7.50,1,423,155
1630677,"BUN FLANC DE PORC",14.00,2,423,0
310138,"GIN UNGAVA",8.00,3,423,0
1151553,"MANGO & STORMY",10.00,3,423,0
2754294,"CARLSBERG PINTE",6.00,1,423,125
2463301,"PAD THAI TOFU",15.00,2,423,0
309773,"GOOSE ISLAND IPA",7.50,1,423,52
330663,"GIN ROMÉO",8.48,3,423,0
345732,"MESA VERRE",7.00,6,423,0
2462400,"CRAB CAKE",9.75,2,423,0
2463300,GASPACHO,6.00,2,423,0
2473881,"ST-JACQUES VERRE",9.50,6,423,0
2473881,"ST-JACQUES VERRE",9.50,6,423,0
940615,"LUCKY SANGRIA VERRE",9.75,6,423,0
1127810,"POULET CORÉEN",9.75,2,423,0
1130379,"ROULEAUX CHAMPIGNONS",9.75,2,423,0
2250037,"PINEAPPLE EXPRESS V",10.00,3,423,0
2481459,"MAKER'S MARK",8.00,3,423,0
1630671,"BUN SAUMON",14.00,2,423,0
2250037,"PINEAPPLE EXPRESS V",10.00,3,423,0
1130379,"ROULEAUX CHAMPIGNONS",9.75,2,423,0
1431951,"MOSCOU MULE",8.75,3,423,0
2249663,"GRENADE PALOMA",10.00,3,423,0
1630671,"BUN SAUMON",14.00,2,423,0
2250037,"PINEAPPLE EXPRESS V",10.00,3,423,0
309940,"virgin mojito",4.50,3,423,0
1127440,"PAD THAI POULET",16.00,2,423,0
1127440,"PAD THAI POULET",16.00,2,423,0
1128637,"TARTARE DE SAUMON",17.00,2,423,0
1151553,"MANGO & STORMY",10.00,3,423,0
1152062,"FERDINAND MAGELLAN",10.00,3,423,0
1068777,"THAI SPRITZ",9.75,3,423,0
1127440,"PAD THAI POULET",16.00,2,423,0
1127810,"POULET CORÉEN",9.75,2,423,0
1151553,"MANGO & STORMY",10.00,3,423,0
364121,FRITES,6.00,2,423,0
1128637,"TARTARE DE SAUMON",17.00,2,423,0
2253727,"THAI SPRITZ PICHET",33.00,3,423,0
2462400,"CRAB CAKE",9.75,2,423,0
309959,"WHITE VELVET",8.00,1,423,507
309959,"WHITE VELVET",8.00,1,423,507
310475,"B1 X",4.00,3,423,0
311646,"WISER SHOT",4.00,3,423,0
348166,KRONENBOURG,8.00,1,423,201
348166,KRONENBOURG,8.00,1,423,201
371093,EDAMAME,6.00,2,423,0
3191842,"PALM BAY",5.50,3,423,0
309737,"JAMESON SHOT",4.00,3,423,0
310098,"BLOODY CESAR",8.00,3,423,0
2754294,"CARLSBERG PINTE",6.00,1,423,125
309737,"JAMESON SHOT",4.00,3,423,0
348160,"LABATT 50",7.00,1,423,41
348160,"LABATT 50",7.00,1,423,41
1130379,"ROULEAUX CHAMPIGNONS",9.75,2,423,0
1127485,"POKE BOWL AU THON",18.00,2,423,0
309635,"BG ROUSSE PINTE",6.50,1,423,256
1127440,"PAD THAI POULET",16.00,2,423,0
1151553,"MANGO & STORMY",10.00,3,423,0
2462894,POUTINE,14.00,2,423,0
2250035,"LOTUS PICHET",33.00,3,423,0
364121,FRITES,6.00,2,423,0
2250035,"LOTUS PICHET",33.00,3,423,0
2250035,"LOTUS PICHET",33.00,3,423,0
2250035,"LOTUS PICHET",33.00,3,423,0
2250035,"LOTUS PICHET",33.00,3,423,0
2250035,"LOTUS PICHET",33.00,3,423,0
1127485,"POKE BOWL AU THON",18.00,2,423,0
309775,CIDRE,8.00,1,423,128
1632469,"BUN TOFU",14.00,2,423,0
2754294,"CARLSBERG PINTE",6.00,1,423,125
2754294,"CARLSBERG PINTE",6.00,1,423,125
348166,KRONENBOURG,8.00,1,423,201
2754294,"CARLSBERG PINTE",6.00,1,423,125
2754294,"CARLSBERG PINTE",6.00,1,423,125
309752,"STELLA ARTOIS",8.00,1,423,74
345732,"MESA VERRE",7.00,6,423,0
1068777,"THAI SPRITZ",9.75,3,423,0
1127754,"3 CHOIX",27.00,2,423,0
1152059,"BLOODY KIMCHi",10.00,3,423,0
2250758,"CHAI WHITE RUSSIAN",9.50,3,423,0
310138,"GIN UNGAVA",8.00,3,423,0
2479504,"TERRA VERRE",8.50,6,423,0
309773,"GOOSE ISLAND IPA",7.50,1,423,52
345732,"MESA VERRE",7.00,6,423,0
2250759,"PINEAPPLE PICHET",33.00,3,423,0
348160,"LABATT 50",7.00,1,423,41
1097277,Apérol,6.00,3,423,0
311115,"RH.HAVANA RESERVE 5",6.50,3,423,0
2754294,"CARLSBERG PINTE",6.00,1,423,125
2754294,"CARLSBERG PINTE",6.00,1,423,125
310475,"B1 X",4.00,3,423,0
311646,"WISER SHOT",4.00,3,423,0
3191842,"PALM BAY",5.50,3,423,0
309773,"GOOSE ISLAND IPA",7.50,1,423,52
309775,CIDRE,8.00,1,423,128
