Şube;Kredi;Mevduat
Şube_1;535325;5030250
Şube_10;546415;5617620
Şube_100;553350;5537070
Şube_101;554655;5503290
Şube_102;584970;5782380
Şube_103;546595;4913535
Şube_104;561540;5211640
Şube_105;523755;5695385
Şube_106;595350;6085275
Şube_107;552840;5104080
Şube_108;513585;5148980
Şube_109;604760;5688800
Şube_11;600080;6139120
Şube_110;538050;5639580
Şube_111;566400;5159520
Şube_112;605370;5351940
Şube_113;570000;5864000
Şube_114;565470;6118200
Şube_115;598520;5851040
Şube_116;573755;5117720
Şube_117;545500;5352000
Şube_118;557000;5010500
Şube_119;597975;5454225
Şube_12;519690;5951700
Şube_120;616200;5290480
Şube_121;519140;5556515
Şube_122;498465;4991085
Şube_123;560700;6033300
Şube_124;581140;5829530
Şube_125;512820;5789520
Şube_126;514585;5763255
Şube_127;555170;6038890
Şube_128;580320;5681000
Şube_129;501600;5342880
Şube_13;606000;5145445
Şube_130;534240;5393760
Şube_131;522720;4848480
Şube_132;553385;4890255
Şube_133;506000;5927500
Şube_134;481440;5013600
Şube_135;490080;5642400
Şube_136;561000;5608000
Şube_137;531650;5365500
Şube_138;577220;5204290
Şube_139;556320;5723040
Şube_14;510720;5723040
Şube_140;510500;5119500
Şube_141;537000;5366000
Şube_142;547050;5562375
Şube_143;608940;5663040
Şube_144;511335;5777640
Şube_145;536310;5381280
Şube_146;535300;5898400
Şube_147;578605;5660920
Şube_148;538720;5393960
Şube_149;505440;5350080
Şube_15;532950;5042125
Şube_150;590345;5127265
Şube_151;584570;4958800
Şube_152;573270;5610480
Şube_153;628425;5776575
Şube_154;598500;5941500
Şube_155;501930;5790510
Şube_156;595350;5557125
Şube_157;553985;6043335
Şube_158;572220;5840010
Şube_159;545625;4952820
Şube_16;501500;5890000
Şube_160;588555;5424705
Şube_161;560045;5337345
Şube_162;562080;5496960
Şube_163;599460;5840615
Şube_164;577220;5526220
Şube_165;537040;5793760
Şube_166;603225;5343450
Şube_167;566775;5056425
Şube_168;569625;5460525
Şube_169;574690;5259070
Şube_17;525740;5728335
Şube_170;566610;5246950
Şube_171;557650;5181775
Şube_172;577170;5117310
Şube_173;579600;6162450
Şube_174;578225;5300985
Şube_175;591090;5939460
Şube_176;527240;5687430
Şube_177;488880;5022660
Şube_178;578550;5549250
Şube_179;507375;5128695
Şube_18;544440;6165120
Şube_180;580000;5292000
Şube_181;557430;5370300
Şube_182;526240;5828680
Şube_183;591150;5449500
Şube_184;560500;5292500
Şube_185;522725;5597020
Şube_186;586950;5566575
Şube_187;545190;5963940
Şube_188;2521344;9109648,8
Şube_189;2975232;9927684
Şube_19;2788032;9706975,2
Şube_190;2727072;8522253
Şube_191;2496000;8524440
Şube_192;2567016;9206897,4
Şube_193;2369904;9218618,1
Şube_194;2753088;9555343,2
Şube_195;2341560;9013923
Şube_196;2858400;9490770
Şube_197;2810808;9454401
Şube_198;2607120;8766808,2
Şube_199;2392632;9616384,8
Şube_2;2482176;8251356,6
Şube_20;2585520;8778010,5
Şube_200;2702592;8999164,8
Şube_201;2694480;9519363
Şube_202;2830440;8353845,9
Şube_203;2623104;8775191,7
Şube_204;2638080;9062928
Şube_205;2447280;8658916,2
Şube_206;2663496;8624434,5
Şube_207;2550912;10030456,8
Şube_208;2587800;8360617,5
Şube_209;2377872;8180109
Şube_21;2847744;9027126
Şube_210;2553264;8538777
Şube_211;2685984;9517662
Şube_212;2778480;9159253,2
Şube_213;2720040;7878141
Şube_214;2509056;9059866,2
Şube_215;2412000;9072810
Şube_216;2573088;8403960,6
Şube_217;2495616;8381847,6
Şube_218;2710032;9740298,6
Şube_219;2520000;9075240
Şube_22;2822688;8229097,8
Şube_220;2746392;9449873,1
Şube_221;2605488;8742629,7
Şube_222;2469240;8385241,5
Şube_223;2595600;9205812
Şube_224;2787120;8635750,2
Şube_225;2643648;8211861
Şube_226;2660112;8138831,4
Şube_227;2674704;9770487,3
Şube_228;2840928;8744670,9
Şube_229;2768640;9066338,1
Şube_23;2400168;8271063,9
Şube_230;2865168;8722582,2
Şube_231;2787120;9096097,5
Şube_232;2934264;9615307,5
Şube_233;2577600;8705880
Şube_234;2386944;8227008
Şube_235;2689536;9542723,4
Şube_236;2690640;8239903,2
Şube_237;2734416;8312398,2
Şube_238;2653248;8885635,2
Şube_239;2905776;9254266,2
Şube_24;2842128;9374891,4
Şube_240;2376888;9025335,9
Şube_241;2955960;9387819
Şube_242;2625192;9059639,4
Şube_243;2532864;8742483,9
Şube_244;2436672;9196966,8
Şube_245;2592000;8690490
Şube_246;2977728;9920944,8
Şube_247;2983680;9559620
Şube_248;2529600;9129510
Şube_249;2746392;8282444,4
Şube_25;3013920;9196456,5
Şube_250;2594400;8983710
Şube_251;2740800;9125460
Şube_252;2452032;8605188,9
Şube_253;2528784;9485602,2
Şube_254;2523888;9067545
Şube_255;2406096;8449207,2
Şube_256;2903328;9079938
Şube_257;2649600;8971171,2
Şube_258;2661600;8779590
Şube_259;2944152;9253221,3
